physician_id,psychiatry_experience_years,psychiatry_specialist,designated_mental_health_physician,clozapine_initiation_cases,current_clozapine_patients,outpatient_recommendation_rate,stably_unwell_reason_rate,expected_refusal_reason_rate
D01,2,0,0,6,2,0.818,0.230,0.411
D02,17,0,0,4,2,0.467,0.289,0.434
D03,2,0,0,1,5,0.527,0.318,0.282
D04,4,0,0,6,15,0.626,0.043,0.451
D05,9,1,1,1,2,0.525,0.278,0.264
D06,17,0,0,6,6,0.552,0.128,0.576
D07,24,1,1,4,13,0.650,0.234,0.371
D08,7,1,0,0,5,0.637,0.272,0.594
D09,15,1,1,5,4,0.878,0.362,0.078
D10,3,0,0,0,2,0.436,0.229,0.252
D11,22,1,1,4,5,0.591,0.308,0.134
D12,9,1,0,7,2,0.612,0.363,0.296
D13,19,1,0,8,6,0.596,0.393,0.504
D14,14,1,1,0,3,0.486,0.323,0.584
D15,2,0,0,0,2,0.427,0.385,0.605
D16,5,0,1,2,0,0.173,0.317,0.374
D17,21,0,1,5,3,0.524,0.134,0.242
D18,20,1,0,4,2,0.473,0.361,0.512
D19,20,1,1,5,2,0.330,0.262,0.361
D20,10,1,1,7,6,0.581,0.175,0.428
D21,10,1,0,2,1,0.447,0.420,0.452
D22,8,1,1,14,7,0.638,0.108,0.351
D23,7,1,1,4,1,0.411,0.025,0.614
D24,18,1,1,3,0,0.507,0.152,0.521
D25,9,1,1,2,0,0.557,0.161,0.650
D26,23,1,0,3,0,0.509,0.020,0.464
D27,10,0,1,5,10,0.859,0.211,0.314
D28,2,0,0,11,6,0.498,0.281,0.203
D29,9,1,1,19,2,0.590,0.050,0.284
D30,30,0,1,9,2,0.589,0.289,0.505
D31,17,1,0,5,2,0.386,0.105,0.297
D32,15,1,1,7,4,0.814,0.283,0.757
D33,12,0,1,5,3,0.525,0.521,0.341
D34,19,1,0,3,1,0.384,0.184,0.321
D35,20,1,1,10,8,0.702,0.294,0.450
D36,27,1,0,5,4,0.588,0.310,0.419
D37,14,1,0,0,6,0.168,0.328,0.538
D38,18,0,1,5,2,0.594,0.138,0.703
D39,16,1,0,3,3,0.403,0.493,0.325
D40,9,1,1,4,2,0.449,0.421,0.440
D41,18,1,0,8,5,0.950,0.170,0.599
D42,7,1,0,2,16,0.449,0.391,0.411
D43,5,0,1,0,1,0.415,0.158,0.372
D44,9,1,1,2,0,0.235,0.308,0.511
D45,3,0,0,3,2,0.473,0.301,0.430
D46,11,1,1,0,0,0.594,0.213,0.425
D47,17,1,1,8,2,0.904,0.335,0.569
D48,11,1,0,3,0,0.750,0.152,0.439
