physician_id,psychiatry_experience_years,psychiatry_specialist,designated_mental_health_physician,clozapine_initiation_cases,current_clozapine_patients,outpatient_recommendation_rate,stably_unwell_reason_rate,expected_refusal_reason_rate
D01,10,1,1,5,2,0.465,0.276,0.317
D02,2,0,0,1,1,0.737,0.264,0.681
D03,9,1,0,1,5,0.573,0.271,0.446
D04,12,0,1,6,3,0.662,0.372,0.432
D05,12,1,0,0,1,0.784,0.208,0.739
D06,7,0,1,4,4,0.719,0.299,0.423
D07,11,0,1,7,6,0.496,0.437,0.712
D08,20,1,0,12,2,0.572,0.277,0.372
D09,13,1,1,3,0,0.607,0.251,0.454
D10,5,0,1,1,6,0.629,0.090,0.564
D11,11,0,0,0,1,0.335,0.279,0.503
D12,11,1,1,0,3,0.364,0.434,0.304
D13,7,1,1,2,6,0.720,0.238,0.429
D14,6,1,1,8,13,0.525,0.165,0.246
D15,17,1,0,9,7,0.240,0.089,0.290
D16,16,0,0,8,4,0.591,0.265,0.417
D17,13,1,1,18,2,0.791,0.220,0.402
D18,22,1,1,4,7,0.259,0.339,0.372
D19,15,1,1,4,3,0.606,0.271,0.435
D20,3,0,0,8,2,0.692,0.149,0.674
D21,14,0,1,3,1,0.542,0.352,0.366
D22,22,1,1,3,0,0.891,0.378,0.207
D23,8,1,1,4,0,0.338,0.162,0.389
D24,12,1,1,4,3,0.562,0.298,0.520
D25,15,1,1,8,3,0.585,0.270,0.218
D26,19,1,1,11,2,0.640,0.310,0.218
D27,18,0,1,8,3,0.699,0.124,0.206
D28,8,1,0,20,4,0.756,0.231,0.357
D29,10,0,1,8,3,0.376,0.096,0.397
D30,12,1,1,4,0,0.414,0.147,0.248
D31,20,1,1,10,12,0.508,0.023,0.318
D32,22,0,0,6,3,0.564,0.371,0.214
D33,24,1,1,11,4,0.950,0.397,0.506
D34,14,1,0,5,2,0.700,0.156,0.415
D35,10,1,0,4,0,0.803,0.309,0.713
D36,2,0,0,1,1,0.219,0.418,0.437
D37,6,0,1,2,4,0.419,0.328,0.466
D38,21,1,1,3,6,0.410,0.190,0.509
D39,22,1,0,4,0,0.346,0.304,0.518
D40,24,0,1,12,3,0.640,0.252,0.463
D41,16,1,1,3,1,0.693,0.138,0.630
D42,15,1,1,12,10,0.614,0.390,0.264
D43,22,0,1,9,5,0.213,0.135,0.659
D44,16,1,0,3,3,0.665,0.163,0.587
D45,14,1,0,0,1,0.203,0.465,0.586
D46,27,1,1,11,9,0.360,0.133,0.303
D47,16,1,0,3,8,0.821,0.220,0.600
D48,3,0,0,0,6,0.328,0.503,0.494
