physician_id,psychiatry_experience_years,psychiatry_specialist,designated_mental_health_physician,clozapine_initiation_cases,current_clozapine_patients,outpatient_recommendation_rate,stably_unwell_reason_rate,expected_refusal_reason_rate
D01,18,1,0,6,3,0.233,0.189,0.423
D02,12,1,0,3,4,0.323,0.194,0.455
D03,17,0,0,3,0,0.468,0.264,0.531
D04,9,1,1,0,4,0.258,0.351,0.346
D05,8,1,1,0,6,0.462,0.395,0.200
D06,16,1,1,3,0,0.360,0.237,0.722
D07,17,1,1,3,0,0.293,0.234,0.411
D08,4,0,0,3,7,0.507,0.312,0.365
D09,3,0,0,7,10,0.786,0.216,0.382
D10,15,0,0,10,6,0.595,0.242,0.499
D11,10,1,1,8,4,0.465,0.224,0.314
D12,12,1,1,0,2,0.402,0.384,0.221
D13,12,1,1,0,0,0.195,0.291,0.290
D14,16,1,0,3,2,0.527,0.228,0.400
D15,2,0,0,0,1,0.522,0.278,0.425
D16,19,1,1,15,3,0.536,0.020,0.452
D17,15,1,1,3,2,0.318,0.329,0.365
D18,8,0,0,0,0,0.259,0.277,0.470
D19,24,1,0,3,5,0.516,0.204,0.183
D20,12,1,1,14,4,0.449,0.020,0.431
D21,3,0,0,7,6,0.572,0.200,0.697
D22,9,1,0,2,2,0.365,0.317,0.339
D23,23,0,1,6,8,0.508,0.219,0.439
D24,13,1,0,3,1,0.711,0.116,0.456
D25,9,1,0,0,0,0.503,0.303,0.409
D26,17,1,1,12,4,0.752,0.293,0.486
D27,16,1,1,5,7,0.245,0.365,0.422
D28,12,1,1,1,14,0.713,0.474,0.300
D29,5,0,1,4,5,0.365,0.271,0.338
D30,25,1,1,4,3,0.543,0.191,0.533
D31,21,1,1,6,2,0.182,0.231,0.265
D32,17,1,1,6,3,0.696,0.346,0.396
D33,6,1,1,0,0,0.344,0.552,0.481
D34,6,1,1,4,2,0.473,0.300,0.246
D35,26,0,1,12,5,0.470,0.301,0.272
D36,2,0,0,3,2,0.564,0.408,0.344
D37,24,1,0,5,16,0.660,0.255,0.283
D38,2,0,0,3,3,0.460,0.232,0.246
D39,12,1,1,1,2,0.205,0.293,0.161
D40,13,1,1,1,0,0.432,0.351,0.599
D41,2,0,0,0,2,0.605,0.483,0.540
D42,14,1,1,3,0,0.492,0.359,0.374
D43,7,1,0,2,0,0.740,0.328,0.548
D44,18,1,1,13,4,0.379,0.312,0.343
D45,18,0,0,5,2,0.278,0.098,0.500
D46,14,0,1,0,0,0.254,0.250,0.263
D47,13,1,1,11,3,0.608,0.205,0.665
D48,3,0,0,9,6,0.430,0.284,0.118
