participant_id,inpatient_now_accept,outpatient_now_accept,inpatient_worse_accept,outpatient_worse_accept
P001,0,0,1,0
P002,0,1,1,1
P003,1,1,0,1
P004,1,1,1,1
P005,1,1,1,1
P006,0,1,1,1
P007,1,0,0,1
P008,1,1,1,1
P009,0,1,1,0
P010,1,1,0,1
P011,0,0,1,1
P012,0,1,1,1
P013,1,0,0,1
P014,0,1,1,1
P015,0,1,1,0
P016,0,1,1,1
P017,0,1,0,1
P018,0,1,0,1
P019,1,0,1,1
P020,1,0,1,1
P021,1,1,1,1
P022,0,1,1,1
P023,1,0,0,1
P024,0,1,1,0
P025,0,1,1,1
P026,0,0,1,1
P027,1,0,0,1
P028,0,0,1,1
P029,1,0,1,0
P030,1,1,1,1
P031,1,1,1,1
P032,0,1,1,1
P033,0,1,1,1
P034,0,0,0,0
P035,0,0,1,1
P036,0,1,1,1
P037,0,1,1,1
P038,0,1,0,1
P039,0,0,0,1
P040,0,1,0,1
P041,0,1,1,1
P042,0,1,1,1
P043,0,0,0,1
P044,0,1,1,1
P045,1,1,1,1
P046,1,0,0,1
P047,0,1,0,1
P048,0,1,1,1
P049,1,1,1,1
P050,0,0,1,1
P051,0,0,1,1
P052,1,1,1,1
P053,0,1,1,0
P054,0,0,1,1
P055,0,1,0,0
P056,0,1,0,1
P057,0,0,1,1
P058,0,1,0,1
P059,1,1,0,0
P060,0,1,1,1
P061,1,0,0,1
P062,1,1,0,1
P063,1,0,1,1
P064,1,1,1,1
P065,0,0,1,0
P066,1,0,0,1
P067,0,0,1,1
P068,0,1,1,1
P069,1,0,0,1
P070,0,0,0,1
P071,0,1,1,1
P072,0,0,0,1
P073,0,1,1,1
P074,1,0,1,1
P075,1,1,0,1
P076,0,1,1,1
P077,1,1,1,1
P078,1,0,0,1
P079,0,0,1,1
P080,0,1,0,1
P081,1,1,1,1
P082,0,1,0,1
P083,0,1,1,1
P084,1,0,1,1
P085,0,1,1,1
P086,0,0,0,1
P087,0,0,0,1
P088,1,1,0,1
P089,0,1,0,1
P090,0,1,1,1
P091,0,1,1,0
P092,0,0,1,0
P093,0,0,1,1
P094,1,1,1,1
P095,1,0,1,1
P096,0,0,1,1
P097,0,0,0,0
P098,0,1,1,0
P099,0,0,1,1
P100,0,1,0,1
P101,1,1,0,1
P102,0,0,1,1
P103,0,1,0,1
P104,0,1,0,1
P105,0,1,0,1
P106,1,1,0,1
P107,0,1,0,1
P108,0,1,1,1
P109,1,1,1,1
P110,1,1,1,1
P111,0,1,1,1
P112,0,1,1,1
P113,0,1,1,0
P114,0,0,1,1
P115,0,1,0,1
P116,0,0,1,1
P117,1,1,1,1
P118,0,1,1,1
P119,0,1,0,1
P120,1,1,0,1
P121,0,1,1,1
P122,0,1,0,1
P123,0,0,1,0
P124,0,0,0,1
P125,0,1,0,1
P126,0,0,0,1
P127,0,1,0,1
P128,0,1,0,1
P129,0,0,0,1
P130,1,0,1,1
P131,0,0,0,1
P132,0,1,1,1
P133,1,1,0,1
P134,0,1,0,1
P135,0,1,1,0
P136,1,0,0,1
P137,0,0,0,1
P138,1,1,0,1
P139,1,0,1,1
P140,0,0,1,1
P141,0,1,1,1
P142,0,0,1,1
P143,0,0,1,1
P144,0,0,0,1
P145,0,1,0,0
P146,1,1,1,0
P147,0,1,0,1
P148,0,0,0,1
P149,1,1,0,1
P150,0,0,1,1
P151,0,1,0,1
P152,0,0,0,1
P153,0,1,1,0
P154,0,0,1,1
P155,0,1,0,1
P156,0,0,0,0
P157,0,1,1,1
P158,0,1,1,0
P159,0,0,0,0
P160,1,1,0,1
P161,1,1,0,1
P162,0,1,1,0
P163,1,1,0,1
P164,0,1,1,1
P165,0,1,0,1
P166,0,1,0,1
P167,0,1,1,1
P168,0,1,0,1
P169,0,0,0,1
P170,1,0,1,0
P171,1,1,1,1
P172,0,1,1,1
P173,0,0,1,1
P174,0,0,0,1
P175,1,0,0,1
P176,0,0,0,0
P177,1,1,1,1
P178,0,0,0,1
P179,1,0,0,1
P180,0,1,0,1
