physician_id,psychiatry_experience_years,psychiatry_specialist,designated_mental_health_physician,clozapine_initiation_cases,current_clozapine_patients,outpatient_recommendation_rate,stably_unwell_reason_rate,expected_refusal_reason_rate
D01,13,1,1,1,0,0.294,0.172,0.596
D02,16,1,1,3,1,0.701,0.322,0.443
D03,17,0,1,19,2,0.798,0.138,0.384
D04,18,0,1,10,3,0.507,0.163,0.545
D05,6,1,1,2,0,0.576,0.268,0.269
D06,4,0,0,6,6,0.524,0.058,0.605
D07,17,1,1,8,4,0.686,0.035,0.386
D08,23,1,1,6,3,0.392,0.144,0.696
D09,13,0,1,2,2,0.698,0.384,0.691
D10,15,1,1,2,0,0.488,0.393,0.285
D11,5,0,1,5,4,0.634,0.218,0.269
D12,16,1,1,10,2,0.453,0.020,0.360
D13,3,0,0,7,9,0.685,0.181,0.267
D14,2,0,0,1,0,0.614,0.125,0.302
D15,25,1,1,4,3,0.482,0.371,0.445
D16,15,1,0,2,2,0.323,0.027,0.256
D17,2,0,0,0,2,0.249,0.254,0.357
D18,2,0,0,0,1,0.420,0.306,0.464
D19,27,1,1,5,5,0.631,0.214,0.321
D20,2,0,0,0,14,0.555,0.169,0.355
D21,22,1,1,3,0,0.544,0.278,0.512
D22,9,1,1,5,9,0.601,0.380,0.053
D23,11,1,1,13,3,0.546,0.176,0.331
D24,7,1,0,2,1,0.406,0.020,0.472
D25,2,0,0,0,0,0.698,0.161,0.638
D26,15,1,1,0,1,0.549,0.205,0.541
D27,15,0,0,0,4,0.662,0.303,0.471
D28,17,1,0,4,5,0.567,0.184,0.175
D29,6,1,1,3,4,0.503,0.344,0.359
D30,12,1,1,5,2,0.571,0.058,0.358
D31,10,1,1,1,1,0.199,0.377,0.134
D32,9,1,1,7,3,0.767,0.333,0.699
D33,11,1,1,1,4,0.267,0.338,0.466
D34,26,1,0,8,5,0.282,0.240,0.267
D35,12,1,1,4,0,0.512,0.211,0.250
D36,9,0,1,3,0,0.240,0.449,0.498
D37,24,1,1,3,2,0.649,0.235,0.403
D38,23,0,1,4,2,0.763,0.182,0.517
D39,23,0,0,3,0,0.453,0.373,0.443
D40,2,0,0,0,2,0.462,0.299,0.262
D41,13,1,0,1,0,0.940,0.344,0.304
D42,24,0,1,17,7,0.569,0.165,0.370
D43,2,0,0,0,0,0.319,0.485,0.446
D44,11,0,1,1,3,0.752,0.020,0.307
D45,17,1,0,7,3,0.356,0.219,0.379
D46,20,1,0,4,0,0.657,0.403,0.575
D47,14,1,1,4,0,0.332,0.122,0.428
D48,14,1,1,1,0,0.577,0.140,0.595
